Date,iv_30d,iv_90d,iv_180d
2018-01-02,0.09770000457763672,0.12609999656677245,0.1472000026702881
2018-01-03,0.09149999618530273,0.12319999694824219,0.14409999847412108
2018-01-04,0.09220000267028809,0.12239999771118164,0.1438000011444092
2018-01-05,0.09220000267028809,0.120600004196167,0.141899995803833
2018-01-08,0.09520000457763672,0.12149999618530273,0.14210000038146972
2018-01-09,0.10079999923706055,0.12409999847412109,0.14319999694824218
2018-01-10,0.09819999694824219,0.12359999656677247,0.143100004196167
2018-01-11,0.09880000114440918,0.12159999847412109,0.14109999656677247
2018-01-12,0.1015999984741211,0.12199999809265137,0.1418000030517578
2018-01-16,0.1165999984741211,0.1322999954223633,0.14989999771118165
2018-01-17,0.11909999847412109,0.1325,0.14880000114440917
2018-01-18,0.12220000267028809,0.13579999923706054,0.15149999618530274
2018-01-19,0.11270000457763672,0.13039999961853027,0.14859999656677247
2018-01-22,0.11029999732971191,0.12989999771118163,0.1484000015258789
2018-01-23,0.11100000381469727,0.13220000267028809,0.149399995803833
2018-01-24,0.11470000267028808,0.1352999973297119,0.1525
2018-01-25,0.11579999923706055,0.13680000305175782,0.15390000343322754
2018-01-26,0.11079999923706055,0.13460000038146971,0.15109999656677245
2018-01-29,0.13840000152587892,0.14989999771118165,0.16139999389648438
2018-01-30,0.1478999996185303,0.15829999923706053,0.16780000686645508
2018-01-31,0.13539999961853028,0.14899999618530274,0.16059999465942382
2018-02-01,0.1347000026702881,0.1472000026702881,0.15899999618530272
2018-02-02,0.17309999465942383,0.17030000686645508,0.17489999771118164
2018-02-05,0.3731999969482422,0.281299991607666,0.24549999237060546
2018-02-06,0.2997999954223633,0.2375,0.21540000915527344
2018-02-07,0.2772999954223633,0.23030000686645508,0.21760000228881837
2018-02-08,0.3345999908447266,0.27329999923706055,0.24889999389648437
2018-02-09,0.2905999946594238,0.24920000076293947,0.23180000305175782
2018-02-12,0.25610000610351563,0.22860000610351563,0.22079999923706053
2018-02-13,0.24969999313354493,0.22649999618530273,0.21670000076293947
2018-02-14,0.19260000228881835,0.1934000015258789,0.1975
2018-02-15,0.191299991607666,0.19079999923706054,0.19399999618530273
2018-02-16,0.19459999084472657,0.19170000076293944,0.1947999954223633
2018-02-20,0.20600000381469727,0.20010000228881836,0.20040000915527345
2018-02-21,0.20020000457763673,0.20030000686645508,0.20139999389648439
2018-02-22,0.18719999313354493,0.19059999465942382,0.19360000610351563
2018-02-23,0.16489999771118163,0.175,0.18209999084472656
2018-02-26,0.15800000190734864,0.16920000076293945,0.17600000381469727
2018-02-27,0.1859000015258789,0.19020000457763672,0.19260000228881835
2018-02-28,0.19850000381469726,0.19889999389648438,0.19989999771118164
2018-03-01,0.2246999931335449,0.21420000076293946,0.21100000381469727
2018-03-02,0.19590000152587891,0.19860000610351564,0.19969999313354492
2018-03-05,0.18729999542236328,0.19209999084472656,0.19520000457763673
2018-03-06,0.18360000610351562,0.19239999771118163,0.19600000381469726
2018-03-07,0.17760000228881836,0.1884000015258789,0.19440000534057617
2018-03-08,0.16540000915527345,0.1818000030517578,0.18879999160766603
2018-03-09,0.14640000343322754,0.17010000228881836,0.17950000762939453
2018-03-12,0.15779999732971192,0.17799999237060546,0.18649999618530275
2018-03-13,0.16350000381469726,0.18049999237060546,0.18860000610351563
2018-03-14,0.1722999954223633,0.18780000686645507,0.19399999618530273
2018-03-15,0.16590000152587892,0.18209999084472656,0.19110000610351563
2018-03-16,0.15800000190734864,0.17739999771118165,0.18690000534057616
2018-03-19,0.19020000457763672,0.193799991607666,0.19700000762939454
2018-03-20,0.18200000762939453,0.18879999160766603,0.19540000915527345
2018-03-21,0.17860000610351562,0.18709999084472656,0.19489999771118163
2018-03-22,0.23340000152587892,0.2165999984741211,0.21440000534057618
2018-03-23,0.24870000839233397,0.22790000915527345,0.22860000610351563
2018-03-26,0.21030000686645509,0.20700000762939452,0.20899999618530274
2018-03-27,0.225,0.21940000534057616,0.22
2018-03-28,0.22870000839233398,0.22309999465942382,0.22290000915527344
2018-03-29,0.19969999313354492,0.20549999237060546,0.21049999237060546
2018-04-02,0.236200008392334,0.2256999969482422,0.22329999923706054
2018-04-03,0.21100000381469727,0.2102000045776367,0.21260000228881837
2018-04-04,0.20059999465942382,0.20420000076293945,0.20850000381469727
2018-04-05,0.18940000534057616,0.19610000610351563,0.201299991607666
2018-04-06,0.21489999771118165,0.21200000762939453,0.2140999984741211
2018-04-09,0.21770000457763672,0.21229999542236327,0.21290000915527343
2018-04-10,0.20469999313354492,0.20399999618530273,0.2075
2018-04-11,0.20239999771118164,0.203700008392334,0.20799999237060546
2018-04-12,0.18489999771118165,0.19280000686645507,0.1997999954223633
2018-04-13,0.17409999847412108,0.18549999237060547,0.19350000381469726
2018-04-16,0.16559999465942382,0.17819999694824218,0.18770000457763672
2018-04-17,0.1525,0.16799999237060548,0.1803000068664551
2018-04-18,0.15600000381469725,0.16799999237060548,0.1793000030517578
2018-04-19,0.15960000038146974,0.17120000839233399,0.18209999084472656
2018-04-20,0.168799991607666,0.17719999313354493,0.18649999618530275
2018-04-23,0.1634000015258789,0.17350000381469727,0.18379999160766602
2018-04-24,0.1802000045776367,0.18229999542236328,0.19
2018-04-25,0.1784000015258789,0.18229999542236328,0.18989999771118163
2018-04-26,0.16239999771118163,0.17290000915527343,0.18290000915527344
2018-04-27,0.1540999984741211,0.17079999923706055,0.18219999313354493
2018-04-30,0.15930000305175782,0.1734000015258789,0.18329999923706056
2018-05-01,0.15489999771118165,0.1690999984741211,0.18079999923706055
2018-05-02,0.15970000267028808,0.17260000228881836,0.18319999694824218
2018-05-03,0.15899999618530272,0.17030000686645508,0.1815999984741211
2018-05-04,0.1477000045776367,0.16649999618530273,0.1784000015258789
2018-05-07,0.1475,0.16649999618530273,0.17889999389648437
2018-05-08,0.14710000038146973,0.1647999954223633,0.17760000228881836
2018-05-09,0.13420000076293945,0.15779999732971192,0.1727000045776367
2018-05-10,0.1322999954223633,0.15239999771118165,0.16829999923706054
2018-05-11,0.12649999618530272,0.14819999694824218,0.1656999969482422
2018-05-14,0.12930000305175782,0.1452999973297119,0.16260000228881835
2018-05-15,0.1463000011444092,0.15789999961853027,0.17049999237060548
2018-05-16,0.13420000076293945,0.15140000343322754,0.16600000381469726
2018-05-17,0.13430000305175782,0.15020000457763671,0.166299991607666
2018-05-18,0.13420000076293945,0.151899995803833,0.16790000915527345
2018-05-21,0.13079999923706054,0.146899995803833,0.16280000686645507
2018-05-22,0.13220000267028809,0.14880000114440917,0.16399999618530273
2018-05-23,0.12579999923706053,0.14479999542236327,0.16190000534057616
2018-05-24,0.12529999732971192,0.1443000030517578,0.1615999984741211
2018-05-25,0.13220000267028809,0.14829999923706055,0.16430000305175782
2018-05-29,0.17020000457763673,0.171299991607666,0.17940000534057618
2018-05-30,0.149399995803833,0.16,0.17260000228881836
2018-05-31,0.1543000030517578,0.16329999923706054,0.17540000915527343
2018-06-01,0.13460000038146971,0.15270000457763672,0.16809999465942382
2018-06-04,0.12739999771118163,0.14899999618530274,0.16469999313354491
