Date,Close,High,Low,Open,Volume,return_1d,return_5d,return_10d,sma_10,sma_50,sma_ratio,volatility_10,volatility_20,rsi_14,volume_ratio,vix,vix_change,vix_ma20,vix_stressed,target
2015-03-16,0.553248405456543,0.5566204455283876,0.5474678555723091,0.5510807351404382,236956000,0.011894433820109906,0.01592218897947184,0.016371499627263475,0.5463839292526245,0.5063029772043228,1.079163966741058,0.013140699760765807,0.011722799730135087,59.70596177459399,1.0095924834877543,15.609999656677246,-0.02437502145767212,14.810000038146972,1,1
2015-03-17,0.5599923133850098,0.5602331528319255,0.5481903191147259,0.552044037389182,299900000,0.012189656331502041,0.01086970555906075,0.04824116824109237,0.5489610731601715,0.5078431195020676,1.080965857523913,0.01134224274777177,0.011953045312790098,65.81182721404218,1.2520216454879212,15.65999984741211,0.0032030872411630273,14.803000020980836,1,0
2015-03-18,0.5508397817611694,0.5628826167126506,0.5457818083089774,0.5599923707791551,413844000,-0.01634403081091529,-0.0004371809293068907,0.0196166997857512,0.5500208497047424,0.5093633633852005,1.0798202015341947,0.012848112531019666,0.012282156194826751,58.746734605396895,1.6443431154326928,13.970000267028809,-0.10791823734676353,14.729000043869018,0,1
2015-03-19,0.5592697262763977,0.5611965566621654,0.5486720443051563,0.5527666019434823,310756000,0.015303804834639445,0.02426114312393346,0.01574806473948187,0.5508879363536835,0.5113401281833648,1.0773414914859507,0.012321941759247286,0.012641681073651437,64.3565423846755,1.2010190783462857,14.069999694824219,0.007158155038223146,14.668000030517579,0,1
2015-03-20,0.5652914047241211,0.5686634457687709,0.5585474374843998,0.5638463099047445,462084000,0.010767038094150916,0.033921146965908866,0.040798713994614655,0.5531038463115692,0.5134613180160522,1.0772064552957767,0.011352501551674022,0.012735116159846117,61.60006757577197,1.6866829561374244,13.020000457763672,-0.0746268130657316,14.604000043869018,0,0
2015-03-23,0.5469863414764404,0.5556571985394294,0.5467455018822672,0.5484314938910713,426012000,-0.03238164085762829,-0.011318720340341648,0.004423249834865528,0.5533447265625,0.5148709058761597,1.0747251791609183,0.016205245773011974,0.014812564267580488,56.47926124520263,1.474036920470682,13.40999984741211,0.029953869119557996,14.54650001525879,0,0
2015-03-24,0.5395196676254272,0.5491539381754699,0.5371110999879166,0.5453002184704964,330480000,-0.013650567271678016,-0.03655879780890314,-0.026086475617618454,0.5518996119499207,0.5160927695035934,1.0693806318595942,0.01560439773455204,0.015019921092933153,49.63866571972577,1.108745495134309,13.619999885559082,0.01565995828012623,14.543000030517579,0,0
2015-03-25,0.5067631602287292,0.539278853584769,0.505077111120456,0.539278853584769,542552000,-0.06071420443460063,-0.08001713563881763,-0.08041933460240547,0.5474678575992584,0.5167794668674469,1.0593839204135467,0.024179272168658353,0.02026970698593864,32.086732986389706,1.7007729076071965,15.4399995803833,0.1336269978059188,14.623000001907348,1,0
2015-03-26,0.5050768852233887,0.5072446124575452,0.49279321241268703,0.49640609113628115,311920000,-0.003327540629787462,-0.09689929296517341,-0.0749890374564759,0.5433732867240906,0.517446836233139,1.050104568576916,0.024220467951616673,0.02023538170042356,33.677726727497515,0.9540121606577032,15.800000190734863,0.023316102340374956,14.717500019073487,1,1
2015-03-27,0.5149522423744202,0.5168790734681984,0.49977826088037886,0.5079673791661076,318288000,0.019552185894754937,-0.08904993412073536,-0.05814946305744051,0.5401939928531647,0.5182733243703842,1.0422955754271368,0.02560425251687577,0.020807337848060475,38.150378592817226,0.9501253448550698,15.069999694824219,-0.04620256247457,14.803999996185302,1,1
