Date,Open,High,Low,Close,Volume,return_1d,return_5d,return_10d,sma_10,sma_50,sma_ratio,volatility_10,volatility_20,rsi_14,volume_ratio,vix,vix_change,target
2015-03-16,171.18500790795596,172.82472332214812,170.48108310109575,172.73362731933594,136099200,0.013360280432687333,0.0010556816818181325,-0.016085829332873502,172.1423568725586,170.5972052001953,1.0090573094122501,0.009845069793604153,0.00724199447875411,41.395889879798375,1.2854075306529233,15.609999656677246,-0.02437502145767212,0
2015-03-17,171.99661322656053,172.60115264266457,171.4086275328932,172.22021484375,94510400,-0.002972278667180306,0.014538213777972375,-0.014967890042771437,171.8806625366211,170.63910919189453,1.0072759014660018,0.009819265613745756,0.007252689632674026,40.4476556872472,0.885282744820132,15.65999984741211,0.0032030872411630273,1
2015-03-18,171.74818903558065,174.96138067468297,171.11051682508818,174.29058837890625,228808500,0.012021663873980293,0.029144677874328506,0.001094232574861076,171.89971313476562,170.78386932373047,1.0065336604414319,0.010623204901261337,0.007774773849086878,47.85661543745171,2.0041898098705047,13.970000267028809,-0.10791823734676353,0
2015-03-19,173.8764948644553,174.29884223735098,173.1063171416112,173.49554443359375,117917300,-0.0045615999848717115,0.011588755712104382,-0.0045615999848717115,171.82020874023436,170.9441973876953,1.0051245457051243,0.010718086889134964,0.007843463607857277,47.32718647498703,1.0210366330823184,14.069999694824219,0.007158155038223146,1
2015-03-20,174.4446784661776,175.5343837524502,174.26167316848532,175.02696228027344,177715100,0.008826842508718347,0.026814375012924163,0.018550465659674664,172.13897857666015,171.09391174316406,1.0061081474077516,0.009889135340368038,0.00798310756679956,48.55805869265426,1.5146763674993242,13.020000457763672,-0.0746268130657316,0
2015-03-23,175.0352986782756,175.60926875940504,174.68592834472656,174.68592834472656,71784500,-0.0019484651456200819,0.01130237959850966,0.012369992995430845,172.35242462158203,171.17734558105468,1.0068646878273442,0.00992201266421791,0.00799567689118448,49.58041324490302,0.6125091650900536,13.40999984741211,0.029953869119557996,0
2015-03-24,174.56112214072957,175.0186226578226,173.63778191445252,173.70433044433594,77805300,-0.005619215638557495,0.008617545866682619,0.02328104336870629,172.74762573242188,171.2684768676758,1.0086364338131466,0.008274243086766544,0.008059107957682363,48.91668643719488,0.6623752554823569,13.619999885559082,0.01565995828012623,0
2015-03-25,173.91226721956986,174.14518069744963,171.1172927921801,171.15887451171875,159521700,-0.01465395782653145,-0.01796834755287635,0.010652648620089522,172.92803344726562,171.33519897460937,1.0092965980264936,0.00981922732817106,0.008662993196383095,42.406404607955295,1.309840912517157,15.4399995803833,0.1336269978059188,0
2015-03-26,170.49347509533237,171.66635670565452,169.7947217212742,170.7513427734375,153067200,-0.0023810143613286483,-0.01581713045781763,-0.004411675606655452,172.8523696899414,171.4032110595703,1.0084546760904465,0.008958590028422888,0.008667392791546808,47.071854516780846,1.216696768016068,15.800000190734863,0.023316102340374956,0
2015-03-27,170.63488193095372,171.31698228652505,170.44355010937383,171.14230346679688,118939000,0.0022896493052948497,-0.022194630832111484,0.004024609026406889,172.9209716796875,171.49924835205078,1.0082899682727369,0.008754002019105346,0.008684903037826982,46.14048563741269,0.9413551916780779,15.069999694824219,-0.04620256247457,1
2015-03-30,172.17374153535073,173.52964087435808,172.15711392232274,173.2301788330078,96180400,0.012199645113553093,-0.008333524775080647,0.0028746661630274506,172.9706268310547,171.66752075195313,1.0075908714321355,0.008569357673712778,0.009035670164102836,59.91156669069998,0.7586213451322729,14.510000228881836,-0.037159885685645655,0
2015-03-31,172.40667436163744,173.10542766496235,171.65802552080422,171.71624755859375,126768700,-0.008739419912932589,-0.011445211991299664,-0.002926295763906017,172.92023010253905,171.76228454589844,1.0067415588917088,0.008998854747422869,0.00918769201162887,56.3272818853959,0.9934439238373268,15.289999961853027,0.053756011072874976,0
2015-04-01,171.6829788209666,171.7079329360202,170.11911991581752,171.1090087890625,137303600,-0.0035362918661732134,-0.00029134173029887744,-0.018254454353708538,172.6020721435547,171.83778106689454,1.0044477475902847,0.007920511313845502,0.009175878724937005,48.834433059360244,1.066472091747439,15.109999656677246,-0.01177242025015457,0
2015-04-02,171.0424354464049,172.17373503850223,170.85943016732784,171.72454833984375,86900900,0.0035973532611603964,0.0056995485399933266,-0.010207732420631999,172.4249725341797,171.9086944580078,1.0030032109649811,0.008025381211139177,0.009220412692295142,53.8020363036213,0.6723629688749848,14.670000076293945,-0.029119761110574238,1
2015-04-06,170.83450255255133,173.39656416417543,170.701418168536,172.88082885742188,114368200,0.0067333443515009694,0.010158361523761261,-0.012261730392229109,172.21035919189453,171.9527145385742,1.001498345949418,0.007763696907037068,0.008797002874742646,50.47308278139525,0.9108720707947574,14.739999771118164,0.004771621980925289,0
2015-04-07,172.90571548666466,173.6543640392882,172.3899803812054,172.42324829101562,81236300,-0.002646797620247554,-0.004658140674033806,-0.01295284671840169,171.98409118652344,172.006298828125,0.9998708905327719,0.007774252452244852,0.008773415875987529,50.654867953500734,0.6492158128332013,14.779999732971191,0.0027137016603897557,0
2015-04-08,172.64791585986887,173.4464729378044,172.2569511284169,173.00559997558594,89351900,0.0033774545506033427,0.007508622132871956,-0.004022527630500927,171.91421813964843,172.06357971191406,0.9991319396439635,0.007736222104039541,0.007919166661694697,45.41528792664722,0.7339482623887689,13.979999542236328,-0.054127212800296864,0
2015-04-09,172.8391895952683,174.00375698350717,172.34840853114136,173.77084350585938,85548900,0.004423229828291353,0.015556368046514057,0.01526049409703134,172.1754150390625,172.1810501098633,0.9999672724100753,0.00597607213917733,0.007914319823591509,50.984333160930454,0.7098811877614246,13.09000015258789,-0.06366233324683412,1
2015-04-10,174.02045185284246,174.76078693025497,173.82081891959464,174.7191925048828,72722900,0.005457469043081753,0.017438649243745052,0.0232375902115749,172.57220001220702,172.36055236816406,1.0012279355173501,0.005919636356169476,0.007520917752399635,48.85168847908217,0.608824531200992,12.579999923706055,-0.038961055992119964,0
2015-04-13,174.57771094024756,175.209915487167,173.87897057107162,173.9288787841797,74436600,-0.004523336614442264,0.006062268058780296,0.016282212293136755,172.85085754394532,172.49360595703126,1.0020711004615617,0.006302619016950954,0.007449397480799441,47.2670184754707,0.6469972489192245,13.9399995803833,0.10810808147259454,0
2015-04-14,173.72929738807832,174.44467827112047,173.10541915377996,174.2616729736328,75099900,0.0019133923692227217,0.010662278438893003,0.005954471371985015,172.95400695800782,172.67538543701173,1.001613556676251,0.005114000544521901,0.006869802802808505,52.11091461793635,0.6705386231430865,13.670000076293945,-0.019368688107373022,0
2015-04-15,174.72748944644854,175.55100054245278,174.6443006097776,175.0435791015625,99529300,0.004486965576463886,0.011779844850479781,0.019376917387117887,173.2867401123047,172.8318933105469,1.0026317295554967,0.004022407200381597,0.006875970760973088,66.98172610773298,0.8866728296785995,12.84000015258789,-0.06071689239749256,0
2015-04-16,174.71092204232482,175.5011655491069,174.51127636670884,174.99374389648438,68934900,-0.00028470170304972786,0.00703743140076174,0.022703276320248156,173.6752136230469,172.93904083251954,1.0042568340091598,0.0036453365457115115,0.0063530401626657705,69.14406350185635,0.6612039924942903,12.600000381469727,-0.018691570737231822,0
2015-04-17,173.8041757701656,174.04540312484284,172.19872236546422,172.98065185546875,191113200,-0.011503794342536344,-0.009950484686251482,0.007314641545244749,173.8008239746094,173.01884521484374,1.0045196161076826,0.005619876959635658,0.006801867157791913,57.23626360425727,1.770937093218201,13.890000343322754,0.10238094625379324,1
2015-04-20,173.903967892209,174.89385667427484,173.82079174730367,174.56112670898438,92189500,0.009136714635785692,0.0036350945813272695,0.009719399557878594,173.96885375976564,173.09613891601563,1.0050417926662907,0.005946410719952585,0.006823653108616545,55.45697172322064,0.8895153514113667,13.300000190734863,-0.04247661180739404,0
2015-04-21,175.2432242976131,175.4012754712299,174.05370263148143,174.35316467285156,72559800,-0.0011913421965905613,0.0005250247955130849,0.01119290119496319,174.1618453979492,173.1787139892578,1.0056769760327033,0.005864931393668873,0.006815017963720236,62.108211804898694,0.6998511076167757,13.25,-0.0037594127832941693,0
2015-04-22,174.69421298498898,175.39296622825637,173.77087272447622,175.2099609375,78264600,0.004914142317153258,0.0009505166472913995,0.0127415584364039,174.3822814941406,173.29366302490234,1.0062819288959333,0.005949899769868446,0.006770731626627717,68.408874836638,0.7547076656039247,12.710000038146973,-0.040754714102115286,0
2015-04-23,174.81069939027384,176.29969608187733,174.69424261211802,175.65086364746094,102585900,0.002516424908731052,0.0037551042474139873,0.010818961936719607,174.57028350830078,173.38132354736328,1.0068574857811181,0.005868067897480325,0.005768767217163003,67.90567952024205,1.017161405396664,12.479999542236328,-0.01809602637453467,0
2015-04-24,176.06676766238417,176.32463531418654,175.6092543965239,176.05844116210938,61327400,0.0023203843475911867,0.017792679548995105,0.00766514907736382,174.70420837402344,173.47514862060547,1.0070849327018359,0.0056899197335294315,0.005705807681856131,65.55338465812846,0.6370480271786826,12.289999961853027,-0.015224325909650949,0
2015-04-27,176.62411139539643,176.74888198105475,175.13511471141135,175.32644653320312,79358100,-0.004157679825372629,0.004384251171193565,0.008035282920196396,174.84396514892578,173.52137451171876,1.0076220617830438,0.00565311830841589,0.0058421442482972825,63.83846876700133,0.84164704172966,13.119999885559082,0.06753457496194426,0
2015-04-28,175.30147471591496,175.93366677414596,174.1285805578068,175.88375854492188,86863500,0.003178710472599544,0.00877869853949731,0.009308332369416084,175.00617370605468,173.5645016479492,1.0083062610408071,0.005694443196070376,0.0052704811093947455,63.7519411494521,0.9258210695317859,12.40999984741211,-0.054115857038112836,0
