Date,Open,High,Low,Close,Volume,return_1d,return_5d,sma_10,sma_50,sma_ratio,volatility_10,rsi_14,target
2015-03-16,171.18500790795596,172.82472332214812,170.48108310109575,172.73362731933594,136099200,0.013360280432687333,0.0010556816818181325,172.1423568725586,170.5972052001953,1.0090573094122501,0.009845069793604153,41.395889879798375,0
2015-03-17,171.99661322656053,172.60115264266457,171.4086275328932,172.22021484375,94510400,-0.002972278667180306,0.014538213777972375,171.8806625366211,170.63910919189453,1.0072759014660018,0.009819265613745756,40.4476556872472,1
2015-03-18,171.74818903558065,174.96138067468297,171.11051682508818,174.29058837890625,228808500,0.012021663873980293,0.029144677874328506,171.89971313476562,170.78386932373047,1.0065336604414319,0.010623204901261337,47.85661543745171,0
2015-03-19,173.8764948644553,174.29884223735098,173.1063171416112,173.49554443359375,117917300,-0.0045615999848717115,0.011588755712104382,171.82020874023436,170.9441973876953,1.0051245457051243,0.010718086889134964,47.32718647498703,1
2015-03-20,174.4446784661776,175.5343837524502,174.26167316848532,175.02696228027344,177715100,0.008826842508718347,0.026814375012924163,172.13897857666015,171.09391174316406,1.0061081474077516,0.009889135340368038,48.55805869265426,0
2015-03-23,175.0352986782756,175.60926875940504,174.68592834472656,174.68592834472656,71784500,-0.0019484651456200819,0.01130237959850966,172.35242462158203,171.17734558105468,1.0068646878273442,0.00992201266421791,49.58041324490302,0
2015-03-24,174.56112214072957,175.0186226578226,173.63778191445252,173.70433044433594,77805300,-0.005619215638557495,0.008617545866682619,172.74762573242188,171.2684768676758,1.0086364338131466,0.008274243086766544,48.91668643719488,0
2015-03-25,173.91226721956986,174.14518069744963,171.1172927921801,171.15887451171875,159521700,-0.01465395782653145,-0.01796834755287635,172.92803344726562,171.33519897460937,1.0092965980264936,0.00981922732817106,42.406404607955295,0
2015-03-26,170.49347509533237,171.66635670565452,169.7947217212742,170.7513427734375,153067200,-0.0023810143613286483,-0.01581713045781763,172.8523696899414,171.4032110595703,1.0084546760904465,0.008958590028422888,47.071854516780846,1
2015-03-27,170.63488193095372,171.31698228652505,170.44355010937383,171.14230346679688,118939000,0.0022896493052948497,-0.022194630832111484,172.9209716796875,171.49924835205078,1.0082899682727369,0.008754002019105346,46.14048563741269,1
2015-03-30,172.17374153535073,173.52964087435808,172.15711392232274,173.2301788330078,96180400,0.012199645113553093,-0.008333524775080647,172.9706268310547,171.66752075195313,1.0075908714321355,0.008569357673712778,59.91156669069998,0
2015-03-31,172.40667436163744,173.10542766496235,171.65802552080422,171.71624755859375,126768700,-0.008739419912932589,-0.011445211991299664,172.92023010253905,171.76228454589844,1.0067415588917088,0.008998854747422869,56.3272818853959,0
2015-04-01,171.6829788209666,171.7079329360202,170.11911991581752,171.1090087890625,137303600,-0.0035362918661732134,-0.00029134173029887744,172.6020721435547,171.83778106689454,1.0044477475902847,0.007920511313845502,48.834433059360244,1
2015-04-02,171.0424354464049,172.17373503850223,170.85943016732784,171.72454833984375,86900900,0.0035973532611603964,0.0056995485399933266,172.4249725341797,171.9086944580078,1.0030032109649811,0.008025381211139177,53.8020363036213,1
2015-04-06,170.83450255255133,173.39656416417543,170.701418168536,172.88082885742188,114368200,0.0067333443515009694,0.010158361523761261,172.21035919189453,171.9527145385742,1.001498345949418,0.007763696907037068,50.47308278139525,0
2015-04-07,172.90571548666466,173.6543640392882,172.3899803812054,172.42324829101562,81236300,-0.002646797620247554,-0.004658140674033806,171.98409118652344,172.006298828125,0.9998708905327719,0.007774252452244852,50.654867953500734,1
