Price,Open,High,Low,Close,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2015-01-02,170.91175939051038,171.325829928709,169.08983891329257,170.12501525878906,121465900
2015-01-05,169.0815244457335,169.24715009688967,166.7461737006491,167.05258178710938,169632600
2015-01-06,167.35901221336937,167.88074508876025,164.68412031268113,165.47914123535156,209151400
2015-01-07,166.8041993427242,167.88078543230242,166.3570086538022,167.54124450683594,125346700
2015-01-08,168.9490503774883,170.72956120963863,168.93249665478461,170.5142364501953,147217800
2015-01-09,170.92826385990315,170.9448302148578,168.53493734422247,169.14776611328125,158567300
2015-01-12,169.28030541730055,169.43765422966325,167.21822977118725,167.82276916503906,144396100
2015-01-13,169.0401406430063,170.1664129335598,166.05055106093315,167.35073852539062,214553300
2015-01-14,165.3383824493862,166.53919727619112,164.44400109008578,166.34043884277344,192991100
2015-01-15,166.97800648098297,167.2926913412039,164.70061965014108,164.81655883789062,176613900
2015-01-16,164.60957432299625,167.1354066580678,164.42738230955322,166.97805786132812,211879600
2015-01-20,167.61574767057863,167.88075887871344,165.76899662094755,167.3341827392578,130991100
2015-01-21,166.8704144645625,168.6592020890844,166.40665751815214,168.1788787841797,122942700
2015-01-22,168.93244722648654,170.81231775411237,167.55773045853948,170.67982482910156,174356000
2015-01-23,170.42310275064852,170.6798370329486,169.61152824256558,169.74403381347656,117516800
2015-01-26,169.52873956995722,170.23265179616268,168.81653784693114,170.1415557861328,92009700
2015-01-27,168.08779251462758,169.04014968220312,167.0691825456615,167.89732360839844,134044600
2015-01-28,169.0814856079298,169.18085844851225,165.55361076658596,165.74407958984375,168514300
2015-01-29,165.9428918715796,167.53292102009297,164.5350421112368,167.2761993408203,173585400
2015-01-30,166.10022536974702,167.4252432198437,164.90770045916094,165.17269897460938,197729700
2015-02-02,165.66956620390064,167.30928141641232,163.85593586689242,167.2181854248047,163107000
2015-02-03,168.11259167452923,169.64465729362138,167.7399308212552,169.63636779785156,124212900
2015-02-04,168.87449351685765,170.0835848102543,168.53495270967596,168.9904327392578,134306700
2015-02-05,169.65298840028913,170.84551362122258,169.57845873308844,170.69644165039062,97953200
2015-02-06,171.06082899905493,171.62397153579192,169.70267805759966,170.2244110107422,125672000
2015-02-09,169.57844839821885,170.29892707677755,169.05671548674957,169.46250915527344,87219000
2015-02-10,170.4976724628847,171.5245592115905,169.5038931575931,171.26783752441406,96164200
2015-02-11,171.10218898738265,171.7978242989837,170.4562401071207,171.3671875,91087800
2015-02-12,172.1621680750951,173.07312789150328,171.40028015429198,173.01515197753906,97545900
2015-02-13,173.13942875474757,173.77708816692638,172.88269445414045,173.72740173339844,93670400
2015-02-17,173.41274666261336,174.17464761829712,173.16431443405426,174.000732421875,76968200
2015-02-18,173.62804566701706,174.09180260672233,173.3630344806547,174.01727294921875,80652900
2015-02-19,173.42103254539876,174.25745051578036,173.28025007334028,173.89306640625,91462500
2015-02-20,173.4789416781696,175.01100730487258,172.85783604081865,174.9364776611328,140896400
2015-02-23,174.68803478245675,174.91163635253906,174.30708442736932,174.91163635253906,74411100
2015-02-24,174.83708910260347,175.60726665036412,174.5389578964423,175.40850830078125,72472300
2015-02-25,175.28434944784004,175.76467280547013,174.9199653395393,175.25950622558594,73061700
2015-02-26,175.16836842089657,175.3257172152652,174.4478772380732,175.05242919921875,72697900
2015-02-27,174.95306905161627,175.21808024610087,174.406505576743,174.45619201660156,108076000
2015-03-02,174.55556100577942,175.6155804872333,174.50587456702831,175.5576171875,87491400
2015-03-03,175.1270126646053,175.60733605528142,173.97589695405733,174.837158203125,110325800
2015-03-04,174.24086485392425,174.31540714911114,173.13115892432225,174.10008239746094,114497200
2015-03-05,174.42308135647423,174.57215333133064,173.78542178241264,174.29058837890625,76873000
2015-03-06,173.42929317901158,173.85993005329047,171.50801255821912,171.83926391601562,188128000
2015-03-09,172.0380244934855,172.90756247783182,171.88067567378718,172.5514678955078,89818900
2015-03-10,171.18501220122667,171.26781870995183,169.71090976336123,169.7523193359375,157121300
2015-03-11,170.00902304979164,170.1829381816836,169.2719782268706,169.35479736328125,110145700
2015-03-12,169.98419153228792,171.57422049665473,169.93450510159317,171.5079803466797,93993500
2015-03-13,171.23473822260718,172.19537229176393,169.42110719773703,170.45628356933594,162410900
2015-03-16,171.18500790795596,172.82472332214812,170.48108310109575,172.73362731933594,136099200
2015-03-17,171.99661322656053,172.60115264266457,171.4086275328932,172.22021484375,94510400
2015-03-18,171.74818903558065,174.96138067468297,171.11051682508818,174.29058837890625,228808500
2015-03-19,173.8764948644553,174.29884223735098,173.1063171416112,173.49554443359375,117917300
2015-03-20,174.4446784661776,175.5343837524502,174.26167316848532,175.02696228027344,177715100
2015-03-23,175.0352986782756,175.60926875940504,174.68592834472656,174.68592834472656,71784500
2015-03-24,174.56112214072957,175.0186226578226,173.63778191445252,173.70433044433594,77805300
2015-03-25,173.91226721956986,174.14518069744963,171.1172927921801,171.15887451171875,159521700
2015-03-26,170.49347509533237,171.66635670565452,169.7947217212742,170.7513427734375,153067200
2015-03-27,170.63488193095372,171.31698228652505,170.44355010937383,171.14230346679688,118939000
2015-03-30,172.17374153535073,173.52964087435808,172.15711392232274,173.2301788330078,96180400
2015-03-31,172.40667436163744,173.10542766496235,171.65802552080422,171.71624755859375,126768700
2015-04-01,171.6829788209666,171.7079329360202,170.11911991581752,171.1090087890625,137303600
2015-04-02,171.0424354464049,172.17373503850223,170.85943016732784,171.72454833984375,86900900
2015-04-06,170.83450255255133,173.39656416417543,170.701418168536,172.88082885742188,114368200
2015-04-07,172.90571548666466,173.6543640392882,172.3899803812054,172.42324829101562,81236300
2015-04-08,172.64791585986887,173.4464729378044,172.2569511284169,173.00559997558594,89351900
2015-04-09,172.8391895952683,174.00375698350715,172.34840853114136,173.77084350585938,85548900
2015-04-10,174.02045185284246,174.76078693025497,173.82081891959464,174.7191925048828,72722900
2015-04-13,174.57771094024756,175.209915487167,173.87897057107162,173.9288787841797,74436600
2015-04-14,173.72929738807832,174.44467827112047,173.10541915377996,174.2616729736328,75099900
2015-04-15,174.72748944644854,175.55100054245278,174.6443006097776,175.0435791015625,99529300
2015-04-16,174.71092204232482,175.5011655491069,174.51127636670884,174.99374389648438,68934900
2015-04-17,173.8041757701656,174.04540312484284,172.19872236546422,172.98065185546875,191113200
2015-04-20,173.903967892209,174.89385667427484,173.82079174730367,174.56112670898438,92189500
2015-04-21,175.2432242976131,175.4012754712299,174.05370263148143,174.35316467285156,72559800
2015-04-22,174.69421298498898,175.39296622825637,173.77087272447622,175.2099609375,78264600
2015-04-23,174.81069939027384,176.29969608187733,174.69424261211802,175.65086364746094,102585900
2015-04-24,176.06676766238417,176.32463531418654,175.6092543965239,176.05844116210938,61327400
2015-04-27,176.62411139539645,176.74888198105475,175.13511471141135,175.32644653320312,79358100
2015-04-28,175.30147471591496,175.93366677414596,174.1285805578068,175.88375854492188,86863500
2015-04-29,174.99367176429075,175.7589608327745,174.35316595144636,175.16004943847656,125684900
2015-04-30,174.58606924936552,174.9770339137259,172.7061082608666,173.4048614501953,161304900
2015-05-01,174.18680399234466,175.32643023772877,174.08698753309534,175.2848358154297,103399700
2015-05-04,175.7090757652785,176.36623466355326,175.60094549420802,175.78395080566406,70927200
2015-05-05,175.5426613898816,175.90035810451877,173.62943265820414,173.77084350585938,113326200
2015-05-06,174.3199083468614,174.62768423762452,171.99076022202962,173.05551147460938,135060200
2015-05-07,172.95566748495605,174.17015593221083,172.62293753129305,173.74591064453125,88244900
2015-05-08,175.41786522965143,176.23306228237632,175.3346764171398,176.03341674804688,155877300
2015-05-11,175.9919292469792,176.25811074241392,175.1184970193625,175.193359375,75708100
2015-05-12,174.361520342868,175.20999844593865,173.5379963581667,174.66929626464844,119727600
2015-05-13,175.07682369198315,175.70070176015165,174.4695859262921,174.70249938964844,94667900
2015-05-14,175.7174083707801,176.61579465109463,175.4429003940587,176.5242919921875,95934000
2015-05-15,176.71556091308594,176.85697176525187,176.23309363890243,176.71556091308594,76510100
2015-05-18,176.54929778319263,177.51422019528445,176.48274922152416,177.26467895507812,74549700
2015-05-19,177.38108188878502,177.6555898624759,176.9235685993002,177.20639038085938,72114600
2015-05-20,177.30619103184608,177.830252816043,176.7655016333957,177.08160400390625,76857500
2015-05-21,176.94020486820656,177.80531050170612,176.77382717194772,177.59735107421875,64764600
2015-05-22,177.2146469042835,177.6305656343087,177.10651666560295,177.17306518554688,57433500
2015-05-26,176.68234069195475,177.10658608628512,174.8523001010872,175.26821899414062,124308600
2015-05-27,175.7257225811501,177.16479831740622,175.31811751911465,176.931884765625,93214000
2015-05-28,176.62409580961238,176.84036903661448,176.04181197319468,176.73223876953125,74974600
2015-05-29,176.66565360922212,176.70723533026117,175.36798913054474,175.63417053222656,124919600
2015-06-01,176.2996734515906,176.63240343422953,175.2016416617787,175.9918975830078,93338800
2015-06-02,175.53434749428806,176.5075958167085,174.9104693881596,175.81716918945312,91531000
2015-06-03,176.34956854967123,176.9068982101551,175.7922388891874,176.28302001953125,87820900
2015-06-04,175.5759968848596,176.23314311090797,174.47796498168626,174.7940673828125,151882800
2015-06-05,174.6443383544263,175.16840021447948,173.8374546971027,174.49461364746094,121704700
2015-06-08,174.38645884786473,174.53619623751186,173.34666169944614,173.42152404785156,89063300
2015-06-09,173.3965606689453,173.93726277294067,172.7643686058993,173.3965606689453,105034700
2015-06-10,174.16181520768131,175.85877083412583,174.10359318232116,175.4761199951172,134551300
2015-06-11,175.9169953206503,176.424416715982,175.68408183028492,176.04177856445312,73876400
2015-06-12,175.21826032451227,175.9170008174416,174.4196906948547,174.69419860839844,135382400
2015-06-15,173.55463763657374,174.22842422198158,172.84757043126274,173.9456024169922,124384200
2015-06-16,173.795828110699,174.977048702538,173.6211493182285,174.89385986328125,85308200
2015-06-17,175.1766815185547,175.78393212058168,174.15352479896114,175.1766815185547,126708600
2015-06-18,175.77562588574565,177.46425543522668,175.20998233094872,176.99842834472656,165867900
2015-06-19,176.75597855978083,176.83120503412866,175.83650135806235,176.212646484375,130478700
2015-06-22,177.13212346748307,177.70051827906317,176.9064312901446,177.1154022216797,70696000
2015-06-23,177.32442296569923,177.57519070489957,176.84797574033792,177.24082946777344,68476800
2015-06-24,176.973377615689,177.34952289902554,175.92852252054377,175.95359802246094,92307300
2015-06-25,176.45511032865318,176.58048782172534,175.34338312329731,175.41860961914062,97107400
2015-06-26,175.77801604409242,176.02042951258704,174.83347592995116,175.38516235351562,104174800
2015-06-29,173.90563875410464,175.39351099709683,171.6320336459103,171.70726013183594,202621300
